,HCA,AJRCCM
0,AT1,AT1
1,AT2,AT2
2,B cells,B cells
3,Basal resting,Basal
4,Club,Secretory
5,Club (nasal),Secretory N
6,Dendritic cells,Dendritic
7,Deuterosomal,Deuterosomal
8,Endothelial,Endothelial
9,Fibroblast lineage,Fibroblast
10,Macrophages,Macrophage
11,Mast cells,Mast cells
12,Monocytes,Monocyte
13,Multiciliated (nasal),Multiciliated N
14,Multiciliated (non-nasal),Multiciliated
15,Pericytes,Pericyte
16,Plasma cells,Plasma cells
17,Rare,Precursor
18,SMG mucous,SMG Goblet
19,SMG serous,Serous
20,Smooth muscle,Smooth muscle
21,Suprabasal,Suprabasal
22,T cell lineage,LT/NK
