index,workflow_ID,dataset_name,class_key,filter_min_counts,normalize_size_factors,scale_input,logtrans_input,model_name,ae_type,hidden_size,hidden_dropout,batchnorm,activation,init,epochs,reduce_lr,early_stop,batch_size,optimizer,verbose,threads,learning_rate,n_perm,permute,mode,pct_split,obs_key,n_keep,keep_obs,train_test_random_seed,obs_subsample,make_fake,true_celltype,false_celltype,pct_false,predictor_model,predict_key,predictor_hidden_sizes,predictor_epochs,predictor_batch_size,semi_sup,predictor_activation,unlabeled_category,save_zinb_param,use_raw_as_output,contrastive_margin,same_class_pct,change_perm,use_TEST,split_strategy,batch_removal_weight,use_hvg
1,1,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,False,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,5,True,percentage,0.8,,,,,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
2,2,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,False,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,5,True,percentage,0.8,,,,,,True,Basal,Secretory,0.1,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
3,3,ajrccm_test,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,False,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,42.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
4,4,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,42.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
5,5,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,42.0,,True,Basal,Secretory,0.1,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
6,6,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,71.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
7,7,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,44.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
8,8,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,68.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
9,9,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,59.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
10,10,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,97.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
11,11,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,13.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
12,12,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,57.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
13,13,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,37.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
14,14,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,24.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
15,15,ajrccm,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,32.0,,False,,,,MLP,celltype,64,50,32,,,,,,,,False,False,random,,
208,208,ajrccm_test,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,,,False,,,,MLP,celltype,64,50,32,,sigmoid,,,,,,False,False,random,,
209,209,ajrccm_test,celltype,True,True,True,True,dca_permuted,zinb-conddisp,128,0.0,True,relu,glorot_uniform,20.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,,,False,,,,MLP,celltype,64,50,32,,softmax,,,,,,False,False,random,,
16,16,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
17,17,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
54,54,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
55,55,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
56,56,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
57,57,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
